ID,society,area_type,location,Description,availability,price,total_sqft,surface_area,bedroom,bathroom,carport
1,Michelia Randu,Rumah 1 ,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,465000000,36,60,2,1,1
2,Michelia Randu,Rumah 2,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,469000000,36,61,2,1,1
3,Michelia Randu,Rumah 3,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,473000000,36,62,2,1,1
4,Michelia Randu,Rumah 4,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,477000000,36,63,2,1,1
5,Michelia Randu,Rumah 5,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,481000000,36,64,2,1,1
6,Michelia Randu,Rumah 6,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,489000000,36,66,2,1,1
7,Michelia Randu,Rumah 7,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,493000000,36,67,2,1,1
8,Michelia Randu,Rumah 8,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,501000000,36,69,2,1,1
9,Michelia Randu,Rumah 9,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,525000000,42,70,2,1,1
10,Michelia Randu,Rumah 10,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,529500000,42,71,2,1,1
11,Michelia Randu,Rumah 11,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,534000000,42,72,2,1,1
12,Michelia Randu,Rumah 12,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,538500000,42,73,2,1,1
13,Michelia Randu,Rumah 13,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,543000000,42,74,2,1,1
14,Michelia Randu,Rumah 14,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,547500000,42,75,2,1,1
15,Michelia Randu,Rumah 15,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,556500000,42,77,2,1,1
16,Michelia Randu,Rumah 16,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,561000000,42,78,2,1,1
17,Michelia Randu,Rumah 17,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,536000000,42,79,2,1,1
18,Michelia Randu,Rumah 18,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,585000000,42,80,2,1,1
19,Michelia Randu,Rumah 19,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,621000000,42,88,2,1,1
20,Michelia Randu,Rumah 20,Babelan,Rumah Baru Paling Laris di Babelan,Indent ,645000000,42,93,2,1,1
21,Pesona Verbena,Rumah 1,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
22,Pesona Verbena,Rumah 2,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
23,Pesona Verbena,Rumah 3,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
24,Pesona Verbena,Rumah 4,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
25,Pesona Verbena,Rumah 5,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
26,Pesona Verbena,Rumah 6,Babelan,Rumah Spesial Terlaris Tahun Ini,Indent ,455000000,36,60,2,1,1
